product_id,pack_size,net_price_inr,currency,effective_from
tea-ctc-black-tea,250g,206,INR,2025-06-05
tea-ctc-black-tea,500g,402,INR,2025-06-05
tea-ctc-black-tea-premium,250g,250,INR,2025-06-05
tea-ctc-black-tea-premium,500g,490,INR,2025-06-05
tea-orthodox-green-leaves,100g,336,INR,2025-06-05
tea-orthodox-green-leaves,200g,664,INR,2025-06-05
tea-orthodox-black-leaves,100g,336,INR,2025-06-05
tea-orthodox-black-leaves,200g,664,INR,2025-06-05
spice-dry-mango-powder,100g,62,INR,2025-06-05
spice-black-pepper-powder,100g,130,INR,2025-06-05
spice-black-pepper-whole,100g,100,INR,2025-06-05
spice-chana-masala,100g,82,INR,2025-06-05
spice-coriander-powder,100g,42,INR,2025-06-05
spice-garam-masala,100g,150,INR,2025-06-05
spice-turmeric-powder,100g,42,INR,2025-06-05
spice-cumin-powder,100g,95,INR,2025-06-05
spice-cumin-whole,100g,75,INR,2025-06-05
spice-red-chilli-powder,100g,55,INR,2025-06-05
spice-deghi-mirch-powder,100g,80,INR,2025-06-05
spice-kutti-red-chilli,100g,60,INR,2025-06-05
spice-ginger-powder,100g,64,INR,2025-06-05
spice-carom-seeds,100g,58,INR,2025-06-05
spice-asafoetida,10g,360,INR,2025-06-05
spice-chai-masala,50g,78,INR,2025-06-05
spice-clove,30g,65,INR,2025-06-05
spice-cardamom,50g,200,INR,2025-06-05
spice-cinnamon,50g,45,INR,2025-06-05
spice-kasuri-methi,50g,30,INR,2025-06-05
spice-black-cardamom,50g,198,INR,2025-06-05
spice-fennel,100g,56,INR,2025-06-05
spice-fenugreek-seeds,100g,32,INR,2025-06-05
